"","Lake","botepth","Year","Ach. microcephala","Ach. minutissimum","Ach. minutissimum var. jackii","Amp. ovalis","Amp. iranensis","Ast. formosa","Aul. ambigua","Aul. granulata","Aul. humilis","Aul. pusila","Aul. subarctica","Aul. tenella","Bra. vitrea","Bra. microcephala","Bra. procera","Cal. limosa","Cal. sp.","Cav. jaernefeltii","Cav. pseudoscutiformis","Cav. sp.","Cha. mediocris","Cmb. anglica","Cmb. sp.","Coc. neothumensis","Coc. neodiminuta","Cyc. menegahniana","Cym. apiculata","Del. sp.1","Del. sp.3","Dip. boldtiana","Dip. finnica","Dis. pseudostelligera","Dis. stelligera","Enc. austriaca","Enc. ceasatii","Enc. sp.","Enp. sp.","Enp. microcephala","Enc. minutum","Enc. perigracile","Enc. silisaecum","Enc. thumensis","Eol. metafarta","Epi. adnata","Epi. gibba","Epi. sorex","Epi. sp.","Epi. turgida","Euc. flexella","Euc. laevis","Eun. arcubus","Eun. sp.","Euc. formica","Eun. incisa","Eun.naegeli","Eun. pectinalis","Eun. rhomboidea","Eun. tenella","Eun. sp.2","Eun. valida","Eun. zasumi","Fal. lenzii","Fra. crotonensis","Fra. mesolepta","Fra. stoermeriana","Fra. tenera","Fra. vaucheria","Frm. virecens","Frm. sp.1","Frm. sp.2","Fru. sp.1","Fru. sp.3","Fru. sp.4","Gei. sp. 4","GMS sp.1","Fru. inculata","Gog. exilis","Gog. rostellata","Gom. acuminatum","Gom. cf. minusculum","Gom. sp.1","Gom. gracile","Gom. insigne","Gom. Sp.","Gom. parvulum","Gom. vibrio","Gsp. grovei","Gyr. Attenuatatum","Han. amphyoxis","Hip. capitata","Kob. micropunctata","Kob. parasubtilissima","Lin. bodanica","Lin. comensis","Lin. comta","Lin. intermedia","Lin. michiganiana","Lut. mutica","Nav. cryptocephala","Nav. cryptotenella","Nav. wildii","Nav. menisculus","Nav. aurora","Nav. radians","Nav. radiosa","Nav. leptostriata","Nav. viridula","Nav. erifuga","Nav. Sp.","Nav. expecta","Nei. sp.","Nei. affinis","Nei. sp. 2","Nit. tenuis","Nit. amphibia","Nit. palea var. tenuirostris","Nit. palea var. debilis","Nit. dissipata","Nit. leiberthruthii","Nit. fonticola","Nit. linearis","Nit. palea","Nit. paleacea","Nit. perminuta","Nup. vitiosa","Nup.elegantula","Nup. subrostrata","Nup. sp.","Nup. neglecta","Nup. wellneri","Pin. rupestris","Pin. Braunii","Pin. gibba","Pin. acrosphaeria","Pin. braunii","Pin. microstauron","Pin. gibbiformis","Pin. subanglica","Pin. subgibba","Pin. viridis","Pin. divergens","Pin. marchica","Plc. Hustedtii","Plc. clementis","Plc. explanata","Plc. symmetrica","Pla. abbreviatum","Pla. biporomum","Pla. frequentissima","Pla. joursacense","Pla. rostratum","Pla. sp.1","Plt. kingstonii","Psa. levanderii","Psa. didymum","Psa. harveyi","Pse. binodis","Pse. brevistriata-inflata","Pse. brevistriata","Pse. elliptica","Pse. cf. microstriata","Pse. microstriata","Pse. parasititica","Pse. pseudoconstruens","Pse. robusta","Pun. lancettula","Ros. anastasiae","Ros. pusillum","Sel. atomoides","Sel. auldrekie","Sel. blackfordensis","Sel. laevissima","Sel. cf. ventralis","Sel. cf. submularis","Sel. cf. vitabunda","Sel. pupula","Sel. moesta","Sel. nigri","Sel. saugerresii","Sel. schadei","Sel. schoenfeldii","Sel. subbacillum","Sel. sp.","Ska. oestrupii","Ska. peragalloi","Stl. cf. similoides","Stl. minuta","Sta. anasta","Sta. berolinensis","Sta. construens","Sta. construens MN2","Sta. ovata","Sta. pinnata","Sta. venter","Ste. niagare","Str. obtusa","Str. gracilis","Str. kriegeri","Str. phoencentron","Str. sp.","Str. sp. 2","Str. smithii","Str. separanda","Str. angusta","Str. bifrons","Sur. tenera","Sur. terryi","Tab. fenestrata","Tab. flocculosa","Tab. flocculosa IV","Tet. sp.","Uln. acus","Uln. capitata","Uln. ulna"
"1","Finger",2,2019,0,0,0,9,0,24,46,16,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,4,0,0,0,0,1,7,8,0,0,0,0,5,0,0,1,0,19,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,11,0,0,21,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,9,0,3,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,28,17,0,0,0,0,0,0,0,0,2,1,5,0,0,26,61,2,1,0,0,0,0,0,2,0,1,1,1,0,0,19,5,0,0,0,1
"2","Finger",4,2013,0,0,0,6,0,27,41,23,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3,0,0,0,0,1,10,5,0,0,0,0,4,0,0,1,0,16,0,0,0,1,0,1,1,0,0,3,1,0,1,0,0,0,0,9,0,0,26,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,3,0,0,16,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,4,0,12,0,2,3,0,0,0,0,0,0,0,0,3,0,0,0,1,0,23,21,0,0,0,0,0,0,0,0,3,0,7,0,0,31,47,3,0,0,0,1,0,0,3,0,0,1,0,1,0,13,2,0,0,0,0
"3","Finger",6,2004,0,0,0,3,0,12,49,29,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,13,1,0,0,0,0,1,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,5,0,0,23,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,3,0,2,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24,16,0,0,0,0,0,0,0,0,3,0,14,0,0,30,72,1,0,0,0,0,0,0,3,0,0,0,0,0,0,25,6,0,2,0,0
"4","Finger",7,1998,0,0,0,1,0,14,60,27,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,15,4,0,0,0,0,1,0,0,2,0,12,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,8,0,0,24,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,3,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,4,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,24,23,0,0,0,0,0,0,0,0,3,0,12,0,0,25,58,0,0,0,0,0,0,0,3,0,0,1,1,1,0,18,6,0,0,0,0
"5","Finger",9,1983,0,0,0,5,0,9,52,12,0,0,0,0,1,0,0,0,4,0,3,0,0,0,0,0,0,2,0,0,0,0,0,22,4,0,0,0,0,4,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,0,0,23,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,6,0,3,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,37,33,0,0,0,0,0,0,0,0,0,0,9,0,0,22,67,1,0,0,0,0,0,0,1,0,1,0,1,1,0,21,5,0,1,0,0
"6","Finger",11,1965,0,0,0,7,0,17,61,17,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,13,3,0,0,0,0,2,0,0,0,0,14,0,0,0,0,0,0,2,0,0,1,2,0,1,2,0,0,0,7,0,0,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,2,0,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,26,17,0,0,0,0,0,0,0,0,2,0,11,0,0,23,68,2,1,0,0,1,0,0,3,0,0,1,0,1,0,20,4,0,1,0,0
"7","Finger",12,1954,0,0,0,0,0,3,49,21,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,3,0,0,1,0,11,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,8,0,0,21,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,2,0,0,2,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,1,0,11,0,3,2,0,0,0,0,0,0,0,0,3,0,0,0,1,0,29,24,0,0,0,0,0,0,0,0,0,0,17,0,0,29,63,0,0,0,0,2,0,0,1,0,2,0,0,0,0,22,8,0,2,0,0
"8","Finger",13,1945,0,0,0,4,0,15,51,17,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,1,7,2,0,0,0,0,2,0,0,1,0,9,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0,0,0,9,0,0,20,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,16,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,1,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,3,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,4,0,10,0,3,4,0,0,0,0,0,0,0,0,4,0,0,0,1,0,17,23,0,0,0,0,0,0,0,0,2,2,10,0,0,25,68,0,0,0,0,0,0,0,3,0,1,1,1,1,0,15,3,0,0,0,0
"9","Finger",14,1935,0,0,0,2,0,8,61,23,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,0,0,0,9,2,0,0,0,0,6,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,8,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,21,0,0,0,0,0,0,0,0,2,1,6,0,0,36,72,3,1,0,0,0,0,0,0,0,1,0,1,1,0,17,4,0,1,0,1
"10","Finger",15,1925,0,0,0,3,0,10,57,31,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,1,0,0,0,0,0,7,4,0,0,0,0,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,10,0,0,11,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,28,23,0,0,0,0,0,0,0,0,1,0,6,0,0,30,68,1,1,0,0,1,0,0,0,0,1,1,2,1,0,18,5,0,1,0,1
"11","Finger",16,1915,0,0,0,0,0,12,51,32,0,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,12,4,0,0,0,0,2,0,0,2,0,4,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,4,0,0,19,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,3,3,0,0,0,3,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,8,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,30,24,0,0,0,0,0,0,0,0,3,1,12,0,0,28,72,3,0,0,0,0,0,0,0,0,0,1,0,0,0,17,7,0,1,0,0
"12","Finger",17,1907,0,0,0,4,0,7,59,35,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,3,0,0,0,0,0,11,2,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,7,0,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,1,0,3,0,3,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,22,20,0,0,0,0,0,0,0,0,2,1,14,0,0,36,81,3,1,0,0,1,0,0,2,0,0,1,0,0,0,15,5,0,1,0,1
"13","Finger",18,1897,0,0,0,0,0,7,63,34,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,1,2,0,0,0,0,10,6,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,5,0,0,13,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,31,25,0,0,0,0,0,0,0,0,3,0,12,0,0,32,68,0,1,0,0,0,0,0,3,0,0,0,1,0,0,18,7,0,0,0,0
"14","Finger",20,1875,0,0,0,0,0,16,64,24,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,11,4,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,3,2,0,1,1,0,0,0,4,0,0,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,7,0,2,3,0,0,0,0,0,0,0,0,3,1,0,0,0,0,26,23,0,0,0,0,0,0,0,0,1,1,13,0,0,27,70,2,1,0,0,0,0,0,1,0,0,0,1,0,0,22,7,0,1,0,1
"15","Finger",21,1866,0,0,0,2,0,12,65,28,0,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,0,4,0,0,0,0,0,9,1,0,0,0,0,4,0,0,1,0,8,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,10,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,29,19,0,0,0,0,0,0,0,0,3,1,10,0,0,35,73,1,0,0,0,0,0,0,1,0,1,0,1,0,0,22,6,0,1,0,0
"16","Elbow",2,2018,1,16,0,0,0,56,48,28,0,0,47,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,7,0,28,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,5,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,1,0,0,0,2,8,17,2,0,0,0,1,0,0,0,0,0,0,0,0,5,20,8,0,0,0,0
"17","Elbow",4,2013,4,16,0,0,0,16,85,39,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,48,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,4,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,3,0,4,0,0,0,18,4,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,4,0,0
